smiles,dataset,PC1,PC2
CC(C)(C)OC(=O)N1CC(CC#N)(n2nc(NC3CC3)c3c(=O)[nH]ccc32)C1,JAK2-selective,5.231131591852233,-0.7801589081620958
CC(C)(C)S(=O)(=O)Nc1cc(-n2ccc3cnc(Nc4cc(F)c5c(c4)CC4CNCCN54)nc32)ccc1F,JAK2-selective,-2.066540151451132,0.9242796095205408
CC(C)(C)S(=O)(=O)Nc1cc(-n2ccc3cnc(Nc4ccc(N5CCNCC5)c(F)c4)nc32)ccc1F,JAK2-selective,-2.181908270077016,1.1069874000433062
CC(C)(C)S(=O)(=O)Nc1cccc(-c2csc3cnc(Nc4ccc(N5CCNCC5)c(F)c4)nc23)c1,JAK2-selective,-1.7065339607250045,0.5067620680923542
CC(C)(C)S(=O)(=O)Nc1cccc(-c2csc3cnc(Nc4ccc5c(c4)CCN4CCNCC54)nc23)c1,JAK2-selective,-1.8895249023352536,-0.17442457199599856
CC(C)(C)S(=O)(=O)Nc1cccc(-n2ccc3cnc(Nc4ccc(C(=O)N5CCNCC5)c(F)c4)nc32)c1,JAK2-selective,-2.116952680323431,1.2916175900365627
CC(C)(C)S(=O)(=O)Nc1cccc(-n2ccc3cnc(Nc4ccc(C(=O)NC5CCNCC5)c(F)c4)nc32)c1,JAK2-selective,-2.6890844438676598,2.5781886599556914
CC(C)(C)S(=O)(=O)Nc1cccc(-n2ccc3cnc(Nc4ccc(C5CCNCC5)cc4)nc32)c1,JAK2-selective,-2.2597273466628707,1.0294030688226246
CC(C)(C)S(=O)(=O)Nc1cccc(-n2ccc3cnc(Nc4ccc(N5CCNCC5)cc4)nc32)c1,JAK2-selective,-2.400993481996906,1.3513580905423919
CC(C)(O)Cn1cc(-c2nc(-c3cnn4ccccc34)nc(N[C@@H]3CCCN(C(=O)CO)C3)c2F)cn1,JAK2-selective,-3.299323432419819,-0.9366744794555522
CC(C)OC(=O)c1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(C(=O)CO)C2)c1F,JAK2-selective,-3.0337587134324013,0.37487120012894576
CC(C)Oc1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(C(=O)CO)C2)c1F,JAK2-selective,-3.2108260183089152,0.26060024231787315
CCCCOc1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(C(=O)CC#N)C2)c1F,JAK2-selective,-3.6982957284849203,0.47724671524766854
CCCCc1cncc2ccc(NC(=O)[C@@H]3CC3c3ccc(S(=O)(=O)Nc4ccccn4)cc3)cc12,JAK2-selective,-4.44661018744721,3.00828338712608
CCCc1cncc2ccc(NC(=O)[C@@H]3CC3c3ccc(S(=O)(=O)Nc4ccccn4)cc3)cc12,JAK2-selective,-3.7368520312733478,2.119718049723509
CCCc1cncc2ccc(NC(=O)[C@@H]3CC3c3ccc(S(=O)(=O)Nc4ncccn4)cc3)cc12,JAK2-selective,-3.721422666414468,1.9513571994511767
CCOC(=O)Cn1cc(Nc2ncc3ccn(CCC#N)c3n2)cn1,JAK2-selective,-3.3268713659291076,1.7818786924636538
CCOC(=O)Cn1cc(Nc2ncc3ccn(CCC4CCCCC4)c3n2)cn1,JAK2-selective,-3.543192645328707,2.220788874329386
CCOC(=O)Cn1cc(Nc2ncc3ccn(C[C@H]4CC[C@@H](OC)CC4)c3n2)cn1,JAK2-selective,-4.2416024217713675,1.1967820559022908
CCOC(=O)Cn1ccc(Nc2ncc3ccn(CC(CC)CC)c3n2)n1,JAK2-selective,-4.190071069914176,2.0691277437060447
CCOC(=O)Cn1ccc2cnc(Nc3cnn(C)c3)nc21,JAK2-selective,-3.662976463144126,1.800834770338908
