,smiles,JAK1_IC50_nM,JAK2_IC50_nM,JAK1_pIC50,JAK2_pIC50,delta_pIC50,scaffold
0,BrC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,0.4,3.0,9.397940008672037,8.522878745280337,-0.8750612633917001,c1cc2c(ncn3nnc(C4CCCCC4)c23)[nH]1
1,Brc1cc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)sc1Br,21.0,71.0,7.6777807052660805,7.1487416512809245,-0.5290390539851559,c1csc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)c1
2,Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)cc1,1.1,6.1,8.958607314841775,8.214670164989233,-0.7439371498525418,c1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)cc1
3,Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)o1,1.4,2.8,8.853871964321762,8.55284196865778,-0.30102999566398125,c1coc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)c1
4,Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)s1,0.79,4.6,9.102372908709558,8.337242168318426,-0.7651307403911325,c1csc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)c1
5,Brc1csc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)c1,1.5,10.0,8.823908740944319,8.0,-0.8239087409443187,c1csc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)c1
6,Brc1nc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)sc1Br,21.0,71.0,7.6777807052660805,7.1487416512809245,-0.5290390539851559,c1csc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)n1
7,Brc1ncc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)s1,1.0,2.3,9.0,8.638272163982407,-0.36172783601759306,c1cc2c(ncn3nnc(C4CCN(Cc5cncs5)CC4)c23)[nH]1
8,C#CCC1(n2cc(-c3c(C)n[nH]c3C)cn2)CN(c2cnc(C(=O)NC(C)C)cn2)C1,300.0,650.0,6.522878745280337,6.187086643357144,-0.3357921019231931,c1cnc(N2CC(n3cc(-c4cn[nH]c4)cn3)C2)cn1
9,C#CCC1(n2cc(-c3c(C)n[nH]c3C)cn2)CN(c2cnc(C(=O)N[C@@H](C)C(F)(F)F)cn2)C1,300.0,650.0,6.522878745280337,6.187086643357144,-0.3357921019231931,c1cnc(N2CC(n3cc(-c4cn[nH]c4)cn3)C2)cn1
10,C#CCC1(n2cc(-c3c[nH]nc3C)c(CO)n2)CN(c2cc(F)c(C(=O)N[C@@H](C)C(F)(F)F)cc2F)C1,300.0,1000.0,6.522878745280337,6.0,-0.5228787452803374,c1ccc(N2CC(n3cc(-c4cn[nH]c4)cn3)C2)cc1
11,C#CCC1(n2cc(-c3c[nH]nc3CC)cn2)CN(c2cnc(C(=O)N[C@@H](C)C(F)(F)F)cn2)C1,650.0,1000.0,6.187086643357144,6.0,-0.1870866433571443,c1cnc(N2CC(n3cc(-c4cn[nH]c4)cn3)C2)cn1
12,C#CCC1(n2cc(-c3c[nH]nc3CO)cn2)CN(c2cc(F)c(C(=O)N[C@@H](C)C(F)(F)F)cc2F)C1,650.0,1000.0,6.187086643357144,6.0,-0.1870866433571443,c1ccc(N2CC(n3cc(-c4cn[nH]c4)cn3)C2)cc1
