smiles,fold_selectivity,dataset,TSNE1,TSNE2
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)c(F)c3)nc3[nH]ccc23)c1,6.526946107784431,JAK2-selective,-14.769633,2.1979356
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3[nH]ccc23)c1,5.649122807017544,JAK2-selective,-14.772322,2.255333
C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)nc3)nc3[nH]ccc23)c1,6.796116504854369,JAK2-selective,-14.815787,2.2270093
CC(C)(C)OC(=O)N1CC(CC#N)(n2nc(NC3CC3)c3c(=O)[nH]ccc32)C1,16.254980079681275,JAK2-selective,42.38997,-32.87901
CC(C)(C)S(=O)(=O)Nc1cc(-n2ccc3cnc(Nc4cc(F)c5c(c4)CC4CNCCN54)nc32)ccc1F,123.14176741624897,JAK2-selective,-9.925639,4.546622
CC(C)(C)S(=O)(=O)Nc1cc(-n2ccc3cnc(Nc4ccc(N5CCNCC5)c(F)c4)nc32)ccc1F,41.93299108025375,JAK2-selective,-9.883577,4.589462
CC(C)(C)S(=O)(=O)Nc1cccc(-c2csc3cnc(Nc4ccc(N5CCNCC5)c(F)c4)nc23)c1,84.5,JAK2-selective,-9.912541,4.0197134
CC(C)(C)S(=O)(=O)Nc1cccc(-c2csc3cnc(Nc4ccc5c(c4)CCN4CCNCC54)nc23)c1,22.0,JAK2-selective,-10.187307,3.672275
CC(C)(C)S(=O)(=O)Nc1cccc(-n2ccc3cnc(Nc4ccc(C(=O)N5CCNCC5)c(F)c4)nc32)c1,19.998322745665345,JAK2-selective,-10.478418,5.2700787
CC(C)(C)S(=O)(=O)Nc1cccc(-n2ccc3cnc(Nc4ccc(C(=O)NC5CCNCC5)c(F)c4)nc32)c1,11.444444444444445,JAK2-selective,-10.412754,5.1128235
CC(C)(C)S(=O)(=O)Nc1cccc(-n2ccc3cnc(Nc4ccc(C5CCNCC5)cc4)nc32)c1,23.186274509803923,JAK2-selective,-11.08368,3.9022079
CC(C)(C)S(=O)(=O)Nc1cccc(-n2ccc3cnc(Nc4ccc(N5CCNCC5)cc4)nc32)c1,38.15783467981195,JAK2-selective,-10.925393,3.8214037
CC(C)(O)Cn1cc(-c2nc(-c3cnn4ccccc34)nc(N[C@@H]3CCCN(C(=O)CO)C3)c2F)cn1,10.0,JAK2-selective,1.3501297,31.299479
CC(C)OC(=O)c1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(C(=O)CO)C2)c1F,12.0,JAK2-selective,2.6595643,29.043478
CC(C)Oc1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(C(=O)CO)C2)c1F,18.0,JAK2-selective,2.550783,29.017288
CCCCOc1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(C(=O)CC#N)C2)c1F,13.0,JAK2-selective,-4.2252483,27.843426
CCCCc1cncc2ccc(NC(=O)[C@@H]3CC3c3ccc(S(=O)(=O)Nc4ccccn4)cc3)cc12,24.0,JAK2-selective,-3.2374506,-11.802803
CCCS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4cnn(C)c4)cc4ncccc34)n2)C1,6.032402234636871,JAK2-selective,-2.3392038,68.52886
CCCc1cncc2ccc(NC(=O)[C@@H]3CC3c3ccc(S(=O)(=O)Nc4ccccn4)cc3)cc12,21.8174811378791,JAK2-selective,-3.2217488,-11.82523
CCCc1cncc2ccc(NC(=O)[C@@H]3CC3c3ccc(S(=O)(=O)Nc4ncccn4)cc3)cc12,24.4,JAK2-selective,-3.067317,-12.100078
CCOC(=O)C1(C)CCN(c2nc(-c3cnn4ccccc34)nc(N[C@@H]3CCCN(C(=O)CO)C3)c2F)CC1,6.25,JAK2-selective,2.187591,30.854435
CCOC(=O)C1CCN(c2nc(-c3cnn4ccccc34)nc(N[C@@H]3CCCN(C(=O)CC#N)C3)c2F)CC1,6.666666666666667,JAK2-selective,-4.4305663,27.657143
CCOC(=O)CCn1cc(Nc2ncc3ccn(Cc4ccsc4)c3n2)cn1,5.5,JAK2-selective,16.485142,20.273493
CCOC(=O)Cn1cc(Nc2ncc3ccn(CC45CC6CC(CC(C6)C4)C5)c3n2)cn1,5.5,JAK2-selective,14.369775,21.404823
CCOC(=O)Cn1cc(Nc2ncc3ccn(CC4CCCCCC4)c3n2)cn1,5.5,JAK2-selective,12.862366,22.427608
CCOC(=O)Cn1cc(Nc2ncc3ccn(CC4CCSCC4)c3n2)cn1,5.5,JAK2-selective,13.863429,22.739935
CCOC(=O)Cn1cc(Nc2ncc3ccn(CC=C(C)C)c3n2)cn1,5.5,JAK2-selective,16.305553,19.788925
CCOC(=O)Cn1cc(Nc2ncc3ccn(CCC#N)c3n2)cn1,10.0,JAK2-selective,16.1079,17.769657
CCOC(=O)Cn1cc(Nc2ncc3ccn(CCC4CCCCC4)c3n2)cn1,18.181818181818183,JAK2-selective,12.671255,22.329613
CCOC(=O)Cn1cc(Nc2ncc3ccn(C[C@@H]4CCC[C@@H](OC)C4)c3n2)cn1,5.5,JAK2-selective,12.584713,23.064507
CCOC(=O)Cn1cc(Nc2ncc3ccn(C[C@H]4CC[C@@H](O)CC4)c3n2)cn1,5.5,JAK2-selective,14.078475,23.145609
CCOC(=O)Cn1cc(Nc2ncc3ccn(C[C@H]4CC[C@@H](OC)CC4)c3n2)cn1,10.0,JAK2-selective,13.198386,23.365526
CCOC(=O)Cn1cc(Nc2ncc3ccn(C[C@H]4CC[C@H](NC)CC4)c3n2)cn1,5.5,JAK2-selective,13.580866,23.630575
CCOC(=O)Cn1cc(Nc2ncc3ccn(C[C@H]4CC[C@H](OC)CC4)c3n2)cn1,5.5,JAK2-selective,13.198386,23.365526
CCOC(=O)Cn1cc(Nc2ncc3ccn(Cc4csc(C)n4)c3n2)cn1,5.5,JAK2-selective,16.258514,19.936853
CCOC(=O)Cn1ccc(Nc2ncc3ccn(CC(CC)CC)c3n2)n1,10.0,JAK2-selective,18.45417,19.931725
CCOC(=O)Cn1ccc2cnc(Nc3cnn(C)c3)nc21,10.0,JAK2-selective,16.7443,20.737122
CCOCCOc1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(C(=O)CC#N)C2)c1F,5.714285714285714,JAK2-selective,-4.249605,27.871761
CCOCCOc1nc(-c2cnn3ccccc23)nc(N[C@@H]2CCCN(C(=O)CO)C2)c1F,16.0,JAK2-selective,1.4682409,29.939785
CCS(=O)(=O)N1CC(CC#N)(n2ccc(-c3nc(-c4cnn(C)c4)cc4ncccc34)n2)C1,7.741379310344827,JAK2-selective,-2.337791,68.52025
CCc1cncc2ccc(NC(=O)[C@@H]3CC3c3ccc(S(=O)(=O)Nc4ccccn4)cc3)cc12,15.0,JAK2-selective,-3.2158065,-11.815783
CCc1cncc2ccc(NC(=O)[C@@H]3CC3c3ccc(S(=O)(=O)Nc4ncccn4)cc3)cc12,7.3,JAK2-selective,-3.0586393,-12.102131
CCc1cncc2ccc(NC(=O)[C@@H]3C[C@H]3c3ccc(S(=O)(=O)Nc4ncc(C5CCNCC5)cn4)cc3)cc12,5.9405940594059405,JAK2-selective,-2.1840594,-13.118425
CCn1cc(-c2cc(-c3cnn(C4(CC#N)CN(S(C)(=O)=O)C4)n3)c3cccnc3c2)ccc1=O,5.900293255131965,JAK2-selective,-9.589162,50.997864
CN(C)C1CCN(C(=O)c2ccc(Nc3ncc4ccn(-c5cccc(NS(=O)(=O)C(C)(C)C)c5)c4n3)cc2F)CC1,55.0,JAK2-selective,-10.326913,5.4955597
CN(C)C1CCN(c2ccc(Nc3ncc4ccn(-c5ccc(F)c(NS(=O)(=O)C(C)(C)C)c5)c4n3)cc2F)CC1,77.77777777777777,JAK2-selective,-9.466118,4.826085
CN(C)C1CCN(c2ccc(Nc3ncc4ccn(-c5cccc(NS(=O)(=O)C(C)(C)C)c5)c4n3)cc2)CC1,58.06863712908658,JAK2-selective,-10.91469,3.8778105
CN(C)C1CCN(c2ccc(Nc3ncc4scc(-c5ccc(F)c(NS(=O)(=O)C(C)(C)C)c5)c4n3)cc2F)CC1,115.875,JAK2-selective,-9.055584,4.690928
CN(C)C1CCN(c2ccc(Nc3ncc4scc(-c5ccc(F)c(NS(=O)(=O)C6(C)CC6)c5)c4n3)cc2F)CC1,66.72727272727273,JAK2-selective,-8.8307085,4.702322
CN(C)C1CCN(c2nc(-c3cnn4ccccc34)nc(N[C@H]3CC[C@H](CC#N)CC3)c2F)CC1,220.0,JAK2-selective,0.06973502,22.212038
CN(C)CCCn1c(=O)c2cc([N+](=O)[O-])ccc2c2cnc3[nH]ccc3c21,6.8040816326530615,JAK2-selective,-29.018866,-18.285566
CN(C)CCOc1nc(-c2cnn3ccccc23)nc(N[C@H]2CC[C@@H](CC#N)CC2)c1F,64.0,JAK2-selective,0.20113523,22.33325
CN(C)CCOc1nc(-c2cnn3ccccc23)nc(N[C@H]2CC[C@H](CC#N)CC2)c1F,121.42857142857143,JAK2-selective,0.20113523,22.33325
