ligand_id,isoform,complex_file,exact_signature_matches,status
0001192b3e71ea8844c474335f2dc25b4fde84186d838b1d2a156987cbc0fcbd,JAK1,results/saved_complexes/0001192b_JAK1_2e19ef_complex.pdb,2,duplicate_exact_matches_first_selected
0001192b3e71ea8844c474335f2dc25b4fde84186d838b1d2a156987cbc0fcbd,JAK2,results/saved_complexes/0001192b_JAK2_dcf16a_complex.pdb,2,duplicate_exact_matches_first_selected
000449d6f146ad4025085bd2b28ebb91a3c1564ff602086fa93e6b99175c18a9,JAK1,,0,no_prefix_candidates
000449d6f146ad4025085bd2b28ebb91a3c1564ff602086fa93e6b99175c18a9,JAK2,,0,no_prefix_candidates
000532361851153cb37551296f4c842f1ff0ecbd8e772d90f452aabe6eb3cec6,JAK1,results/saved_complexes/00053236_JAK1_1d3908_complex.pdb,2,duplicate_exact_matches_first_selected
000532361851153cb37551296f4c842f1ff0ecbd8e772d90f452aabe6eb3cec6,JAK2,results/saved_complexes/00053236_JAK2_1c2218_complex.pdb,2,duplicate_exact_matches_first_selected
0006b152db9ecf0d3c5b9ed46674cb96bf6097435a033f930d5c578fe1d8c769,JAK1,results/saved_complexes/0006b152_JAK1_29aba4_complex.pdb,2,duplicate_exact_matches_first_selected
0006b152db9ecf0d3c5b9ed46674cb96bf6097435a033f930d5c578fe1d8c769,JAK2,results/saved_complexes/0006b152_JAK2_8a832a_complex.pdb,2,duplicate_exact_matches_first_selected
000f223bdae641ee60f1179d3f5a6e8b7d411f46e5e526fce10c443695e1345d,JAK1,results/saved_complexes/000f223b_JAK1_c79629_complex.pdb,2,duplicate_exact_matches_first_selected
000f223bdae641ee60f1179d3f5a6e8b7d411f46e5e526fce10c443695e1345d,JAK2,results/saved_complexes/000f223b_JAK2_2c0d4e_complex.pdb,2,duplicate_exact_matches_first_selected
0014ffd6d6ede1f6935cb1dd0963c70596f22a25f628f9a4ca8d11848008cb4a,JAK1,,0,no_prefix_candidates
0014ffd6d6ede1f6935cb1dd0963c70596f22a25f628f9a4ca8d11848008cb4a,JAK2,,0,no_prefix_candidates
0016ee2573d12cc1baf23de74d7e91774c2e0527c30983e895cfb72621be1eb8,JAK1,results/saved_complexes/0016ee25_JAK1_0af726_complex.pdb,2,duplicate_exact_matches_first_selected
0016ee2573d12cc1baf23de74d7e91774c2e0527c30983e895cfb72621be1eb8,JAK2,results/saved_complexes/0016ee25_JAK2_736051_complex.pdb,2,duplicate_exact_matches_first_selected
00171345e55ef4d6c07257e4155c40b0a1fc88b31e543928448dffb08dd5cbe4,JAK1,results/saved_complexes/00171345_JAK1_802c34_complex.pdb,3,duplicate_exact_matches_first_selected
00171345e55ef4d6c07257e4155c40b0a1fc88b31e543928448dffb08dd5cbe4,JAK2,results/saved_complexes/00171345_JAK2_085e3d_complex.pdb,3,duplicate_exact_matches_first_selected
