pattern,n_features,features,source,n,n_jak2,n_not_jak2,n_jak1,n_nonselective,ppv_jak2,recall_jak2,baseline_jak2_fraction,jak2_enrichment,odds_ratio,fisher_p,beam_score,passes_reporting_filter,fdr_q,passes_fdr,random_holdout_pattern,random_holdout_n_features,random_holdout_subset,random_holdout_discovery_seed,random_holdout_n,random_holdout_n_jak2,random_holdout_n_not_jak2,random_holdout_n_jak1,random_holdout_n_nonselective,random_holdout_ppv_jak2,random_holdout_recall_jak2,random_holdout_baseline_jak2_fraction,random_holdout_jak2_enrichment,random_holdout_odds_ratio,random_holdout_fisher_p,random_holdout_discovery_n,random_holdout_discovery_jak2_enrichment,random_holdout_discovery_fisher_p,random_holdout_discovery_fdr_q,independent_validation_pattern,independent_validation_n_features,independent_validation_n,independent_validation_n_jak2,independent_validation_n_jak1,independent_validation_n_nonselective,independent_validation_n_not_jak2,independent_validation_ppv_jak2,independent_validation_recall_jak2,independent_validation_baseline_jak2_fraction,independent_validation_jak2_enrichment,independent_validation_odds_ratio,independent_validation_fisher_p,independent_validation_mean_delta_pKi_pattern,independent_validation_mean_delta_pKi_nonpattern,independent_validation_mean_delta_pKi_shift,independent_validation_median_delta_pKi_shift,independent_validation_mannwhitney_u,independent_validation_mannwhitney_p,scaffold_holdout_n,scaffold_holdout_n_jak2,scaffold_holdout_n_not_jak2,scaffold_holdout_n_jak1,scaffold_holdout_n_nonselective,scaffold_holdout_ppv_jak2,scaffold_holdout_recall_jak2,scaffold_holdout_baseline_jak2_fraction,scaffold_holdout_jak2_enrichment,scaffold_holdout_odds_ratio,scaffold_holdout_fisher_p,specificity_jak2_enrichment,jak1_enrichment,nonselective_enrichment,specificity_score,passes_specificity_threshold,stable_under_ablation,jak1_feature_overlap,generic_binder_red_flag
J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU881:hydrophobic AND J1:LEU959:hydrogen_bond AND J1:VAL889,5,J1:ALA906:hydrophobic|J1:ARG1007:hydrophobic|J1:LEU881:hydrophobic|J1:LEU959:hydrogen_bond|J1:VAL889,beam_5,76,19,57,12,45,0.25,0.1043956043956044,0.0449938195302843,5.556318681318682,7.783231083844581,4.109374515312191e-10,17.888673316006845,True,2.542535496882673e-08,True,J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU881:hydrophobic AND J1:LEU959:hydrogen_bond AND J1:VAL889,5,holdout,42,25,10,15,1,14,0.4,0.1282051282051282,0.0449826989619377,8.892307692307693,16.08823529411765,3.601609596442871e-08,76,5.556318681318682,4.109374515312191e-10,2.542535496882673e-08,J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU881:hydrophobic AND J1:LEU959:hydrogen_bond AND J1:VAL889,5,68,14,5,49,54,0.2058823529411764,0.0489510489510489,0.1025089605734767,2.008432743726861,2.335239651416122,0.0128223884720228,0.22413213132215,-0.0063687737299225,0.2305009050520725,0.3130982249223347,128674.5,2.2991582271756725e-08,1,1,0,0,0,1.0,0.1666666666666666,0.0057142857142857,175.0,inf,0.0057142857142857,6.381987814166031,0.2654645550208126,1.242492265420874,5.1364406779661005,True,True,,False
J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU881:hydrophobic AND J1:LEU959:hydrogen_bond AND J1:VAL889,5,J1:ALA906|J1:ARG1007:hydrophobic|J1:LEU881:hydrophobic|J1:LEU959:hydrogen_bond|J1:VAL889,beam_5,76,19,57,12,45,0.25,0.1043956043956044,0.0449938195302843,5.556318681318682,7.783231083844581,4.109374515312191e-10,17.888673316006845,True,2.542535496882673e-08,True,J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU881:hydrophobic AND J1:LEU959:hydrogen_bond AND J1:VAL889,5,holdout,42,25,10,15,1,14,0.4,0.1282051282051282,0.0449826989619377,8.892307692307693,16.08823529411765,3.601609596442871e-08,76,5.556318681318682,4.109374515312191e-10,2.542535496882673e-08,J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU881:hydrophobic AND J1:LEU959:hydrogen_bond AND J1:VAL889,5,68,14,5,49,54,0.2058823529411764,0.0489510489510489,0.1025089605734767,2.008432743726861,2.335239651416122,0.0128223884720228,0.22413213132215,-0.0063687737299225,0.2305009050520725,0.3130982249223347,128674.5,2.2991582271756725e-08,1,1,0,0,0,1.0,0.1666666666666666,0.0057142857142857,175.0,inf,0.0057142857142857,6.381987814166031,0.2654645550208126,1.242492265420874,5.1364406779661005,True,True,,False
J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU881:hydrophobic AND J1:LEU959:hydrogen_bond AND J1:VAL889:hydrophobic,5,J1:ALA906|J1:ARG1007:hydrophobic|J1:LEU881:hydrophobic|J1:LEU959:hydrogen_bond|J1:VAL889:hydrophobic,beam_5,76,19,57,12,45,0.25,0.1043956043956044,0.0449938195302843,5.556318681318682,7.783231083844581,4.109374515312191e-10,17.888673316006845,True,2.542535496882673e-08,True,J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU881:hydrophobic AND J1:LEU959:hydrogen_bond AND J1:VAL889:hydrophobic,5,holdout,42,25,10,15,1,14,0.4,0.1282051282051282,0.0449826989619377,8.892307692307693,16.08823529411765,3.601609596442871e-08,76,5.556318681318682,4.109374515312191e-10,2.542535496882673e-08,J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU881:hydrophobic AND J1:LEU959:hydrogen_bond AND J1:VAL889:hydrophobic,5,68,14,5,49,54,0.2058823529411764,0.0489510489510489,0.1025089605734767,2.008432743726861,2.335239651416122,0.0128223884720228,0.22413213132215,-0.0063687737299225,0.2305009050520725,0.3130982249223347,128674.5,2.2991582271756725e-08,1,1,0,0,0,1.0,0.1666666666666666,0.0057142857142857,175.0,inf,0.0057142857142857,6.381987814166031,0.2654645550208126,1.242492265420874,5.1364406779661005,True,True,,False
J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU881:hydrophobic AND J1:LEU959:hydrogen_bond AND J1:VAL889:hydrophobic,5,J1:ALA906:hydrophobic|J1:ARG1007:hydrophobic|J1:LEU881:hydrophobic|J1:LEU959:hydrogen_bond|J1:VAL889:hydrophobic,beam_5,76,19,57,12,45,0.25,0.1043956043956044,0.0449938195302843,5.556318681318682,7.783231083844581,4.109374515312191e-10,17.888673316006845,True,2.542535496882673e-08,True,J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU881:hydrophobic AND J1:LEU959:hydrogen_bond AND J1:VAL889:hydrophobic,5,holdout,42,25,10,15,1,14,0.4,0.1282051282051282,0.0449826989619377,8.892307692307693,16.08823529411765,3.601609596442871e-08,76,5.556318681318682,4.109374515312191e-10,2.542535496882673e-08,J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU881:hydrophobic AND J1:LEU959:hydrogen_bond AND J1:VAL889:hydrophobic,5,68,14,5,49,54,0.2058823529411764,0.0489510489510489,0.1025089605734767,2.008432743726861,2.335239651416122,0.0128223884720228,0.22413213132215,-0.0063687737299225,0.2305009050520725,0.3130982249223347,128674.5,2.2991582271756725e-08,1,1,0,0,0,1.0,0.1666666666666666,0.0057142857142857,175.0,inf,0.0057142857142857,6.381987814166031,0.2654645550208126,1.242492265420874,5.1364406779661005,True,True,,False
J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU881 AND J1:LEU959:hydrogen_bond AND J1:VAL889:hydrophobic,5,J1:ALA906|J1:ARG1007:hydrophobic|J1:LEU881|J1:LEU959:hydrogen_bond|J1:VAL889:hydrophobic,beam_5,76,19,57,12,45,0.25,0.1043956043956044,0.0449938195302843,5.556318681318682,7.783231083844581,4.109374515312191e-10,17.888673316006845,True,2.542535496882673e-08,True,J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU881 AND J1:LEU959:hydrogen_bond AND J1:VAL889:hydrophobic,5,holdout,42,26,10,16,1,15,0.3846153846153846,0.1282051282051282,0.0449826989619377,8.550295857988166,15.073529411764708,5.6421082226095844e-08,76,5.556318681318682,4.109374515312191e-10,2.542535496882673e-08,J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU881 AND J1:LEU959:hydrogen_bond AND J1:VAL889:hydrophobic,5,70,14,5,51,56,0.2,0.0489510489510489,0.1025089605734767,1.951048951048951,2.25,0.0141654285729549,0.2349280127405794,-0.0068160948730821,0.2417441076136616,0.3228597616549755,133442.5,5.4714272862151885e-09,1,1,0,0,0,1.0,0.1666666666666666,0.0057142857142857,175.0,inf,0.0057142857142857,6.319419306184011,0.2628619613441379,1.2511636969841304,5.050833333333332,True,True,,False
J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU881 AND J1:LEU959:hydrogen_bond AND J1:VAL889,5,J1:ALA906:hydrophobic|J1:ARG1007:hydrophobic|J1:LEU881|J1:LEU959:hydrogen_bond|J1:VAL889,beam_5,76,19,57,12,45,0.25,0.1043956043956044,0.0449938195302843,5.556318681318682,7.783231083844581,4.109374515312191e-10,17.888673316006845,True,2.542535496882673e-08,True,J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU881 AND J1:LEU959:hydrogen_bond AND J1:VAL889,5,holdout,42,26,10,16,1,15,0.3846153846153846,0.1282051282051282,0.0449826989619377,8.550295857988166,15.073529411764708,5.6421082226095844e-08,76,5.556318681318682,4.109374515312191e-10,2.542535496882673e-08,J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU881 AND J1:LEU959:hydrogen_bond AND J1:VAL889,5,70,14,5,51,56,0.2,0.0489510489510489,0.1025089605734767,1.951048951048951,2.25,0.0141654285729549,0.2349280127405794,-0.0068160948730821,0.2417441076136616,0.3228597616549755,133442.5,5.4714272862151885e-09,1,1,0,0,0,1.0,0.1666666666666666,0.0057142857142857,175.0,inf,0.0057142857142857,6.319419306184011,0.2628619613441379,1.2511636969841304,5.050833333333332,True,True,,False
J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU881 AND J1:LEU959:hydrogen_bond AND J1:VAL889:hydrophobic,5,J1:ALA906:hydrophobic|J1:ARG1007:hydrophobic|J1:LEU881|J1:LEU959:hydrogen_bond|J1:VAL889:hydrophobic,beam_5,76,19,57,12,45,0.25,0.1043956043956044,0.0449938195302843,5.556318681318682,7.783231083844581,4.109374515312191e-10,17.888673316006845,True,2.542535496882673e-08,True,J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU881 AND J1:LEU959:hydrogen_bond AND J1:VAL889:hydrophobic,5,holdout,42,26,10,16,1,15,0.3846153846153846,0.1282051282051282,0.0449826989619377,8.550295857988166,15.073529411764708,5.6421082226095844e-08,76,5.556318681318682,4.109374515312191e-10,2.542535496882673e-08,J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU881 AND J1:LEU959:hydrogen_bond AND J1:VAL889:hydrophobic,5,70,14,5,51,56,0.2,0.0489510489510489,0.1025089605734767,1.951048951048951,2.25,0.0141654285729549,0.2349280127405794,-0.0068160948730821,0.2417441076136616,0.3228597616549755,133442.5,5.4714272862151885e-09,1,1,0,0,0,1.0,0.1666666666666666,0.0057142857142857,175.0,inf,0.0057142857142857,6.319419306184011,0.2628619613441379,1.2511636969841304,5.050833333333332,True,True,,False
J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU881 AND J1:LEU959:hydrogen_bond AND J1:VAL889,5,J1:ALA906|J1:ARG1007:hydrophobic|J1:LEU881|J1:LEU959:hydrogen_bond|J1:VAL889,beam_5,76,19,57,12,45,0.25,0.1043956043956044,0.0449938195302843,5.556318681318682,7.783231083844581,4.109374515312191e-10,17.888673316006845,True,2.542535496882673e-08,True,J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU881 AND J1:LEU959:hydrogen_bond AND J1:VAL889,5,holdout,42,26,10,16,1,15,0.3846153846153846,0.1282051282051282,0.0449826989619377,8.550295857988166,15.073529411764708,5.6421082226095844e-08,76,5.556318681318682,4.109374515312191e-10,2.542535496882673e-08,J1:ALA906 AND J1:ARG1007:hydrophobic AND J1:LEU881 AND J1:LEU959:hydrogen_bond AND J1:VAL889,5,70,14,5,51,56,0.2,0.0489510489510489,0.1025089605734767,1.951048951048951,2.25,0.0141654285729549,0.2349280127405794,-0.0068160948730821,0.2417441076136616,0.3228597616549755,133442.5,5.4714272862151885e-09,1,1,0,0,0,1.0,0.1666666666666666,0.0057142857142857,175.0,inf,0.0057142857142857,6.319419306184011,0.2628619613441379,1.2511636969841304,5.050833333333332,True,True,,False
J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU881:hydrophobic AND J1:LEU959 AND J1:VAL889,5,J1:ALA906:hydrophobic|J1:ARG1007:hydrophobic|J1:LEU881:hydrophobic|J1:LEU959|J1:VAL889,beam_5,78,19,59,12,47,0.2435897435897435,0.1043956043956044,0.0449938195302843,5.413848971541279,7.515441405843818,6.66447684780944e-10,17.813306260715585,True,3.9378914985344954e-08,True,J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU881:hydrophobic AND J1:LEU959 AND J1:VAL889,5,holdout,42,26,10,16,2,14,0.3846153846153846,0.1282051282051282,0.0449826989619377,8.550295857988166,15.073529411764708,5.6421082226095844e-08,78,5.413848971541279,6.66447684780944e-10,3.9378914985344954e-08,J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU881:hydrophobic AND J1:LEU959 AND J1:VAL889,5,71,14,6,51,57,0.1971830985915492,0.0489510489510489,0.1025089605734767,1.9235693883581209,2.2096233230134157,0.0150839046559333,0.2115505695117323,-0.0062945596168723,0.2178451291286046,0.309178348796558,133001.5,3.302160528415939e-08,1,1,0,0,0,1.0,0.1666666666666666,0.0057142857142857,175.0,inf,0.0057142857142857,6.19789201183432,0.2776382254433646,1.247554570935138,4.968032786885246,True,True,,False
J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU881:hydrophobic AND J1:LEU959 AND J1:VAL889:hydrophobic,5,J1:ALA906:hydrophobic|J1:ARG1007:hydrophobic|J1:LEU881:hydrophobic|J1:LEU959|J1:VAL889:hydrophobic,beam_5,78,19,59,12,47,0.2435897435897435,0.1043956043956044,0.0449938195302843,5.413848971541279,7.515441405843818,6.66447684780944e-10,17.813306260715585,True,3.9378914985344954e-08,True,J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU881:hydrophobic AND J1:LEU959 AND J1:VAL889:hydrophobic,5,holdout,42,26,10,16,2,14,0.3846153846153846,0.1282051282051282,0.0449826989619377,8.550295857988166,15.073529411764708,5.6421082226095844e-08,78,5.413848971541279,6.66447684780944e-10,3.9378914985344954e-08,J1:ALA906:hydrophobic AND J1:ARG1007:hydrophobic AND J1:LEU881:hydrophobic AND J1:LEU959 AND J1:VAL889:hydrophobic,5,71,14,6,51,57,0.1971830985915492,0.0489510489510489,0.1025089605734767,1.9235693883581209,2.2096233230134157,0.0150839046559333,0.2115505695117323,-0.0062945596168723,0.2178451291286046,0.309178348796558,133001.5,3.302160528415939e-08,1,1,0,0,0,1.0,0.1666666666666666,0.0057142857142857,175.0,inf,0.0057142857142857,6.19789201183432,0.2776382254433646,1.247554570935138,4.968032786885246,True,True,,False
